ID_PRODUTO,NOME_PRODUTO,ZONA,CORREDOR,FILA,POSICAO
5349,CONJ KIT PARAFUSOS NOBRE DE CANTO NATURAL,ACESSORIOS,A,1,A
474,CONJ KIT ACESSORIOS RETO F2,ACESSORIOS,A,1,B
1427,PINO FIXO ROSE,ACESSORIOS,A,1,B
1406,ARRUELA DA SEXTAVADA DOURADO,ACESSORIOS,A,1,C
1428,PINO FIXO DOURADO,ACESSORIOS,A,1,C
1844,CONJ KIT ACESSORIOS RETO F1,ACESSORIOS,A,1,D
475,CONJ KIT ACESSORIOS RETO DUPLO CANTO,ACESSORIOS,A,1,E
1114,BERCO DA CUNHA PRETO,ACESSORIOS,A,2,A
1431,PINO FIXO USINADO INOX,ACESSORIOS,A,2,A
1151,PIVO BRANCO,ACESSORIOS,A,2,B
1113,CUNHA DE REGULAGEM PRETO,ACESSORIOS,A,2,C
1115,CUNHA DE REGULAGEM FLEX PRETO,ACESSORIOS,A,2,C
1441,CONJ ACABAMENTO LATERAL P BOX DE CANTO OBLONGO DOURADO,ACESSORIOS,A,2,D
1439,CONJ ACABAMENTO LATERAL P BOX DE CANTO OBLONGO CROMADO,ACESSORIOS,A,2,E
546,CONJ KIT PARAFUSOS ENCANTO DOURADO,ACESSORIOS,A,3,A
1165,CONJ KIT PARAFUSOS ENCANTO DOURADO,ACESSORIOS,A,3,A
1131,BATENTE DO FREIO 1N 1T PRETO,ACESSORIOS,A,3,B
4401,TAMPA LISA CLICK LATAO CROMADA,ACESSORIOS,A,3,C
1982,TAMPA LISA CLICK LATAO DOURADO,ACESSORIOS,A,3,C
6025,CONJ KIT PARAFUSOS DO AMORTECEDOR,ACESSORIOS,A,3,D
5347,CONJ CLICK PARA CAPA NATURAL,ACESSORIOS,A,3,D
5352,CONJ ACAB UNIVERSAL NOBRE BRANCO,ACESSORIOS,A,3,E
1975,TAMPA ACABAMENTO PORTINHA PET CERTO BLACK,ACESSORIOS,A,4,A
1429,PINO FIXO BLACK,ACESSORIOS,A,4,A
1408,ARRUELA DA SEXTAVADA BRANCO,ACESSORIOS,A,4,B
1149,PIVO CINZA,ACESSORIOS,A,4,C
523,CONJ KIT ACESSORIOS PLASTICOS ELEGANCE F1 PRETO,ACESSORIOS,A,4,D
5345,CONJ KIT ACESSORIOS PLASTICOS NOBRE F1  NATURAL,ACESSORIOS,A,4,E
1148,BUCHA DE GIRO RETA COM CATRACA BRANCO,ACESSORIOS,A,5,A
1118,BATENTE INTERNO 405 P 067 PRETO,ACESSORIOS,A,5,B
6020,CONJ FIXACAO VISION BLACK C PARAFUSO,ACESSORIOS,A,5,C
511,CONJ FIXACAO VISION CROMADO POLIMERO,ACESSORIOS,A,5,D
509,CONJ FIXACAO VISION BLACK POLIMERO,ACESSORIOS,A,5,E
1140,BUCHA DE GIRO LIVRE CINZA,ACESSORIOS,A,6,A
1440,CONJ ACABAMENTO LATERAL P BOX DE CANTO OBLONGO ROSE,ACESSORIOS,A,6,B
524,CONJ KIT ACESSORIOS PLASTICOS ELEGANCE F2 PRETO,ACESSORIOS,A,6,C
1336,CONJ ACABAMENTO LATERAL P BOX DE CANTO REDONDO CROMADO,ACESSORIOS,A,6,D
1148,BUCHA DE GIRO RETA COM CATRACA BRANCO,ACESSORIOS,A,6,E
1142,BUCHA DE GIRO LIVRE BRANCO,ACESSORIOS,A,6,E
499,CONJ MINI PUXADOR BRANCO,ACESSORIOS,A,7,A
497,CONJ MINI PUXADOR DOURADO,ACESSORIOS,A,7,B
496,CONJ MINI PUXADOR ROSE,ACESSORIOS,A,7,B
498,CONJ MINI PUXADOR BLACK,ACESSORIOS,A,7,C
495,CONJ MINI PUXADOR CROMADO,ACESSORIOS,A,7,C
2045,CONJ MINI PUXADOR NEUTRO ROSE,ACESSORIOS,A,7,D
528,CONJ KIT ACESSORIOS VP BRANCO,ACESSORIOS,A,7,D
529,CONJ KIT ACESSORIOS VP CROMADO,ACESSORIOS,A,7,E
527,CONJ KIT ACESSORIOS VP BLACK,ACESSORIOS,A,7,E
1106,ARREMATE PERFIL GUIA DIREITO P 279 PRETO,ACESSORIOS,B,1,A
9348,CONJ KIT PARAFUSOS FLEX M6X16 BRANCO BAINHA,ACESSORIOS,B,1,A
5833,"CONJ KIT PARAFUSOS FLEX 5,5x50 BLACK",ACESSORIOS,B,1,B
1195,ARRUELA DE PRESSAO INOX M6X2,ACESSORIOS,B,1,B
1075,ALONGADOR DA FENDA CROMADO,ACESSORIOS,B,1,C
1360,CONJ ACESSORIO FLEX INVERTIDO NATURAL,ACESSORIOS,B,1,D
6022,CONJ FIXACAO VISION CROMADO C PARAFUSO,ACESSORIOS,B,1,E
1429,PINO FIXO BLACK,ACESSORIOS,B,2,A
1406,ARRUELA DA SEXTAVADA DOURADO,ACESSORIOS,B,2,A
1143,BUCHA DE GIRO COM CATRACA CINZA,ACESSORIOS,B,2,B
2073,ALONGADOR DA FENDA ROSE,ACESSORIOS,B,2,C
1145,BUCHA DE GIRO COM CATRACA BRANCO,ACESSORIOS,B,2,D
1146,BUCHA DE GIRO RETA COM CATRACA CINZA,ACESSORIOS,B,2,E
5355,CONJ ACAB UNIVERSAL NOBRE CROMADO,ACESSORIOS,B,3,A
9353,CONJ KIT PARAFUSOS FLEX M6X16 DOURADO BAINHA,ACESSORIOS,B,3,B
1320,GUIA DO VISION BRANCO,ACESSORIOS,B,3,C
1839,ACABAMENTO DIREITO ESQUERDO P 308 PERFIL TRILHO RETO DOURADO,ACESSORIOS,B,3,D
1641,CONJ KIT PARAFUSOS FLEX BLACK,ACESSORIOS,B,3,E
1459,ACABAMENTO P 710 PERFIL TUBO OBLONGO C CORTE DOURADO,ACESSORIOS,B,4,A
517,CONJ ACABAMENTO DO PUXADOR CROMADO,ACESSORIOS,B,4,A
549,CONJ KIT PARAFUSOS VISION NATURAL,ACESSORIOS,B,4,B
1442,CONJ ACABAMENTO LATERAL P BOX DE CANTO OBLONGO BLACK,ACESSORIOS,B,4,D
1108,ARREMATE PERFIL U 08 MM P 066 PRETO,ACESSORIOS,B,4,E
1444,CONJ ACABAMENTO LATERAL P BOX DE CANTO OBLONGO BRANCO,ACESSORIOS,B,5,A
1092,ACABAMENTO P 710 PERFIL TUBO OBLONGO C CORTE CROMADO,ACESSORIOS,B,5,A
1233,CONJ FIXACAO UNIQUE,ACESSORIOS,B,5,B
1110,ARREMATE PERFIL GUIA FLEX GRANDE P 702 PRETO,ACESSORIOS,B,5,C
1188,PARAF INX CAB ABAULADA SEXTAVADO INTERNO ROSCA MAQ M6X40 INOX,ACESSORIOS,B,5,C
526,CONJ KIT ACESSORIOS FLEX PLASTICOS,ACESSORIOS,B,5,D
2305,JUNCAO SUPERIOR NOBRE DE CANTO DOURADO,ACESSORIOS,B,5,E
5850,"CONJ KIT PARAFUSOS FLEX 5,5x50 ROSE",ACESSORIOS,B,6,A
5832,"CONJ KIT PARAFUSOS FLEX 5,5x50 BRANCO",ACESSORIOS,B,6,B
1111,ARREMATE PERFIL GUIA FLEX PEQUENO P 702 PRETO,ACESSORIOS,B,6,C
1344,CONJ ACABAMENTO LATERAL P BOX DE CANTO REDONDO BLACK,ACESSORIOS,B,6,C
1109,ARREMATE PERFIL U 10 MM P 067 PRETO,ACESSORIOS,B,6,D
469,CONJ LUVA DOURADO,ACESSORIOS,B,6,E
5851,"CONJ KIT PARAFUSOS FLEX 5,5x50 DOURADO",ACESSORIOS,B,7,A
1107,ARREMATE PERFIL GUIA ESQUERDO P 279 PRETO,ACESSORIOS,B,7,B
461,CONJ PINO FLEXIVEL INOX,ACESSORIOS,B,7,C
516,CONJ FREIO VISION CROMADO,ACESSORIOS,B,7,D
1094,ACABAMENTO P 710 PERFIL TUBO OBLONGO C CORTE BRANCO,ACESSORIOS,B,3,B
470,CONJ LUVA BLACK,ACESSORIOS,B,8,A
515,CONJ FREIO VISION BRANCO,ACESSORIOS,B,8,B
5834,"CONJ KIT PARAFUSOS FLEX 5,5x50 NATURAL",ACESSORIOS,B,8,C
468,CONJ LUVA ROSE,ACESSORIOS,B,8,D
514,CONJ FREIO VISION BLACK,ACESSORIOS,B,8,E
466,CONJ FENDA CROMADO,ACESSORIOS,C,1,A
1979,CONJ KIT ACESSORIOS CERTO BLACK E PARAFUSOS,ACESSORIOS,C,1,B
6887,TAMPA ACABAMENTO TUBO PEGA REDONDO CROMADO,ACESSORIOS,C,1,C
539,CONJ KIT ACESSORIOS BI PARTIDO E PARAFUSOS CINZA,ACESSORIOS,C,1,D
462,CONJ FENDA ROSE,ACESSORIOS,C,1,E
6892,TAMPA ACABAMENTO TUBO PEGA QUADRADO CROMADO,ACESSORIOS,C,2,A
6886,TAMPA ACABAMENTO TUBO PEGA REDONDO BLACK,ACESSORIOS,C,2,B
1980,CONJ KIT ACESSORIOS CERTO BRANCO E PARAFUSOS,ACESSORIOS,C,2,C
540,CONJ KIT ACESSORIOS BI PARTIDO E PARAFUSOS BLACK,ACESSORIOS,C,2,D
1978,CONJ KIT ACESSORIOS CERTO CINZA E PARAFUSOS,ACESSORIOS,C,2,E
6017,FREIO SUPERIOR COM BORRACHA,ACESSORIOS,C,3,A
1228,SACHE 5G DE GRAXA BANCA LITIO,ACESSORIOS,C,3,B
6227,TAMPA DE ACABAMENTO LATERAL PORTA NOBRE BLACK,ACESSORIOS,C,3,C
6021,CONJ FIXACAO VISION BRANCO C PARAFUSO,ACESSORIOS,C,3,D
551,CONJ KIT PARAFUSOS CERTO NATURAL,ACESSORIOS,C,3,E
6891,TAMPA ACABAMENTO TUBO PEGA QUADRADO BLACK,ACESSORIOS,C,4,A
452,CONJ RODIZIO CLICK BLACK,ACESSORIOS,C,4,A
465,CONJ FENDA BRANCO,ACESSORIOS,C,4,B
2165,FENDA NEUTRO ROSE,ACESSORIOS,C,4,C
464,CONJ FENDA BLACK,ACESSORIOS,C,4,D
463,CONJ FENDA DOURADO,ACESSORIOS,C,4,E
5656,ACABAMENTO PUXADOR ASA DOURADO,ACESSORIOS,C,5,A
6028,CONJ ACAB ASA BRANCO ACETINADO,ACESSORIOS,C,5,B
6029,CONJ ACAB ASA BRANCO,ACESSORIOS,C,5,B
5852,CONJ ACAB ASA AMADEIRADO,ACESSORIOS,C,5,B
8264,CONJ ACAB ASA NEUTRO DOURADO,ACESSORIOS,C,5,C
6033,CONJ ACAB ASA CINZA APPLE,ACESSORIOS,C,5,C
6032,CONJ ACAB ASA CROMADO,ACESSORIOS,C,5,C
6034,CONJ ACAB ASA DOURADO,ACESSORIOS,C,5,D
6035,CONJ ACAB ASA NEUTRO ROSE,ACESSORIOS,C,5,D
6030,CONJ ACAB ASA BLACK,ACESSORIOS,C,5,D
6036,CONJ ACAB ASA INOX ESCOVADO,ACESSORIOS,C,5,E
6804,CONJ ACAB ASA UNILATERAL CINZA APPLE,ACESSORIOS,C,5,E
6805,CONJ ACAB ASA UNILATERAL DOURADO,ACESSORIOS,C,5,E
6803,CONJ ACAB ASA UNILATERAL CROMADO,ACESSORIOS,C,6,A
6800,CONJ ACAB ASA UNILATERAL BRANCO ACETINADO,ACESSORIOS,C,6,A
6802,CONJ ACAB ASA UNILATERAL BLACK,ACESSORIOS,C,6,B
6808,CONJ ACAB ASA UNILATERAL INOX ESCOVADO,ACESSORIOS,C,6,B
6807,CONJ ACAB ASA UNILATERAL NEUTRO ROSE,ACESSORIOS,C,6,C
6801,CONJ ACAB ASA UNILATERAL BRANCO,ACESSORIOS,C,6,C
5383,CONJ ACAB ASA FRONTAL NEUTRO ROSE,ACESSORIOS,C,6,D
5377,CONJ ACAB ASA FRONTAL BLACK,ACESSORIOS,C,6,D
5376,CONJ ACAB ASA FRONTAL BRANCO,ACESSORIOS,C,6,E
5379,CONJ ACAB ASA FRONTAL CROMADO,ACESSORIOS,C,6,E
5380,CONJ ACAB ASA FRONTAL CINZA APPLE,ACESSORIOS,C,7,A
5384,CONJ ACAB ASA FRONTAL INOX ESCOVADO,ACESSORIOS,C,7,A
5381,CONJ ACAB ASA FRONTAL DOURADO,ACESSORIOS,C,7,A
6046,CONJ ACAB ASA DE CANTO INOX ESCOVADO,ACESSORIOS,C,7,B
6037,CONJ ACAB ASA DE CANTO ACO CORTEN,ACESSORIOS,C,7,B
8265,CONJ ACAB ASA DE CANTO NEUTRO DOURADO,ACESSORIOS,C,7,C
6038,CONJ ACAB ASA DE CANTO BRANCO ACETINADO,ACESSORIOS,C,7,C
6040,CONJ ACAB ASA DE CANTO BLACK,ACESSORIOS,C,7,D
5784,CONJ ACAB ASA DE CANTO AMADEIRADO,ACESSORIOS,C,7,D
6045,CONJ ACAB ASA DE CANTO NEUTRO ROSE,ACESSORIOS,C,7,E
6044,CONJ ACAB ASA DE CANTO DOURADO,ACESSORIOS,C,7,E
6042,CONJ ACAB ASA DE CANTO CROMADO,ACESSORIOS,C,7,E
1409,ARRUELA DA SEXTAVADA INOX POLIDO,ACESSORIOS,C,8,A
457,CONJ TAMPA SEXTAVADA BLACK,ACESSORIOS,C,8,A
2205,CONJ KIT ACESSORIOS VP NEUTRO ROSE,ACESSORIOS,C,8,B
5353,CONJ ACAB UNIVERSAL NOBRE BLACK,ACESSORIOS,C,8,C
446,CONJ RODIZIO BRANCO,ACESSORIOS,C,8,D
510,CONJ FIXACAO VISION BRANCO POLIMERO,ACESSORIOS,C,8,D
366,CONJ TAMPA SEXTAVADA VISION BLACK,ACESSORIOS,C,8,D
2301,JUNCAO SUPERIOR NOBRE DE CANTO CROMADO,ACESSORIOS,C,8,D
1173,PARAF INX S CAB SEXTAV INTE ROSCA MAQ M4X3 Freio,ACESSORIOS,C,9,A
1176,PARAF INX CAB CILINDRICA SEXTAV INT RM M4X20 Deslizante,ACESSORIOS,C,9,A
1178,PARAF INX CABCHATA SEXTAVADO INTERNO ROSCA MAQ M6X16 INOX,ACESSORIOS,C,9,A
1974,TAMPA ACABAMENTO PORTINHA PET CERTO CINZA,ACESSORIOS,C,9,B
455,CONJ TAMPA SEXTAVADA ROSE,ACESSORIOS,C,9,B
1976,TAMPA ACABAMENTO PORTINHA PET CERTO BRANCO,ACESSORIOS,C,9,C
1975,TAMPA ACABAMENTO PORTINHA PET CERTO BLACK,ACESSORIOS,C,9,C
